KG1 lines of sight, obtained from drawing K09000100 Issue E dated 16/01/99 (20°-320°) -resampling using cubic interpolation A.Boboc 27/01/2014
Temperature R1 R2 R3 R4 R5 R6 R7 R8 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 A1 A2 A3 A4 A5 A6 A7 A8 
deg.C m m m m m m m m m m m m m m m m rad rad rad rad rad rad rad rad 
20 1.885 2.6969 3.034 3.73 3 3 3 3 0 0 0 0 -0.6073 -0.3727 -0.1468 0.1862 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
21 1.885 2.697 3.0341 3.73 3 3 3 3 0 0 0 0 -0.60732 -0.37271 -0.1468 0.18621 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
22 1.8851 2.697 3.0341 3.7301 3 3 3 3 0 0 0 0 -0.60734 -0.37272 -0.1468 0.18622 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
23 1.8851 2.6971 3.0342 3.7301 3 3 3 3 0 0 0 0 -0.60736 -0.37273 -0.1468 0.18623 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
24 1.8851 2.6971 3.0342 3.7302 3 3 3 3 0 0 0 0 -0.60738 -0.37274 -0.1468 0.18624 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
25 1.8852 2.6972 3.0343 3.7302 3 3 3 3 0 0 0 0 -0.6074 -0.37275 -0.1468 0.18625 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
26 1.8852 2.6972 3.0343 3.7303 3 3 3 3 0 0 0 0 -0.60742 -0.37276 -0.1468 0.18626 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
27 1.8852 2.6973 3.0344 3.7303 3 3 3 3 0 0 0 0 -0.60745 -0.37277 -0.1468 0.18627 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
28 1.8853 2.6973 3.0344 3.7304 3 3 3 3 0 0 0 0 -0.60747 -0.37279 -0.1468 0.18628 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
29 1.8853 2.6974 3.0345 3.7304 3 3 3 3 0 0 0 0 -0.60749 -0.3728 -0.1468 0.18629 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
30 1.8853 2.6974 3.0345 3.7305 3 3 3 3 0 0 0 0 -0.60751 -0.37281 -0.1468 0.1863 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
31 1.8854 2.6975 3.0346 3.7305 3 3 3 3 0 0 0 0 -0.60753 -0.37282 -0.1468 0.18631 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
32 1.8854 2.6975 3.0346 3.7306 3 3 3 3 0 0 0 0 -0.60755 -0.37283 -0.1468 0.18632 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
33 1.8854 2.6976 3.0347 3.7306 3 3 3 3 0 0 0 0 -0.60757 -0.37284 -0.1468 0.18633 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
34 1.8855 2.6976 3.0347 3.7306 3 3 3 3 0 0 0 0 -0.60759 -0.37285 -0.1468 0.18634 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
35 1.8855 2.6977 3.0348 3.7307 3 3 3 3 0 0 0 0 -0.60761 -0.37286 -0.1468 0.18635 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
36 1.8855 2.6977 3.0348 3.7307 3 3 3 3 0 0 0 0 -0.60763 -0.37287 -0.1468 0.18636 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
