    r;z
    3.89144;-0.31339
    3.88031;-0.51993
    3.86349;-0.64971
    3.81715;-0.85325
    3.77904;-0.97699
    3.69868;-1.17046
    3.66741;-1.23638
    3.62136;-1.42656
    3.59348;-1.45192
    3.53951;-1.50102
    3.51164;-1.52638
    3.45767;-1.57547
    3.42980;-1.60083
    3.38176;-1.64453
    3.18634;-1.81753
    2.86885;-1.93955
    2.75763;-1.97196
    2.57787;-1.98290
    2.46596;-1.96418
    2.29805;-1.89475
    2.18241;-1.82372
    2.14899;-1.75794
    2.13193;-1.72434
    2.09888;-1.65929
    2.08181;-1.62570
    2.05467;-1.56450
    2.04120;-1.52931
    2.01512;-1.46117
    2.00164;-1.42597
    1.97556;-1.35783
    1.91241;-1.06067
    1.89568;-0.94009
    1.87309;-0.76296
    1.85836;-0.64287
    1.84184;-0.46710
    1.83704;-0.34737
    1.83787;-0.17099
    1.84502;-0.05067
    1.86338; 0.12484
    1.88235; 0.24315
    1.91822; 0.41681
    1.94865; 0.53185
    2.04865; 0.87945
    2.06307; 0.91426
    2.09099; 0.98167
    2.10549; 1.01667
    2.13341; 1.08407
    2.14783; 1.11889
    2.17575; 1.18630
    2.19017; 1.22111
    2.29544; 1.33443
    2.35993; 1.33443
    2.39619; 1.37323
    2.40915; 1.40030
    2.41225; 1.42198
    2.41293; 1.46854
    2.41921; 1.59223
    2.41880; 1.64283
    2.40573; 1.68971
    2.38099; 1.71926
    2.41818; 1.71931
    2.44623; 1.70983
    2.52459; 1.69997
    2.55296; 1.63799
    2.57391; 1.60180
    2.63299; 1.61714
    2.69380; 1.63550
    2.74928; 1.65675
    2.78819; 1.67248
    2.82031; 1.70820
    2.85703; 1.71158
    2.87846; 1.71602
    2.93644; 1.74139
    2.95732; 1.74595
    2.98698; 1.74595
    2.89768; 1.68233
    2.88199; 1.62282
    2.88163; 1.59160
    2.88591; 1.47397
    2.88591; 1.43566
    2.88946; 1.41714
    2.90082; 1.39278
    2.91335; 1.37624
    2.96348; 1.33481
    3.00975; 1.33481
    3.06005; 1.29777
    3.19404; 1.21404
    3.28315; 1.12439
    3.35244; 1.03867
    3.44728; 0.93229
    3.55911; 0.78155
    3.63903; 0.65390
    3.72230; 0.48496
    3.77584; 0.35239
    3.83331; 0.15797
    3.86207; 0.02427
    3.88567;-0.17625
